record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 06:05:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3476
2025-08-05 07:07:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3754
2025-08-05 08:10:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3732
2025-08-05 09:14:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3856
2025-08-05 10:19:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3915
2025-08-05 11:26:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4018
2025-08-05 12:42:14,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,3,0,0,0,0,0,0,4236
2025-08-05 14:20:41,22,122,0,0,0,1,0,0,0,0,0,0,16,16,0,2,1,2,0,0,0,20,0,0,0,0,5,0,5503
2025-08-05 16:02:12,22,122,0,0,0,0,0,0,0,0,0,0,16,16,0,2,1,2,0,0,0,20,0,0,0,0,5,0,6090
2025-08-05 17:41:26,22,122,0,0,0,0,0,0,0,0,0,0,16,16,0,2,1,2,0,0,0,20,0,0,0,0,5,0,5954
2025-08-06 00:15:45,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,2,0,0,0,4,0,1,0,0,0,0,4704
2025-08-06 01:33:02,2,2,0,0,0,2,2,0,0,0,0,0,13,12,0,1,0,2,0,0,0,17,0,0,0,0,1,0,3008
2025-08-06 02:34:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3691
2025-08-06 03:35:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685
2025-08-06 04:37:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694
2025-08-06 06:03:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3356
2025-08-06 07:03:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 08:04:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
2025-08-06 09:05:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671
2025-08-06 10:07:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707
2025-08-06 11:09:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3730
2025-08-06 12:14:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882
2025-08-06 13:23:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
2025-08-06 14:39:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4555
2025-08-06 19:10:28,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,2,0,0,0,3,0,1,0,0,0,0,12858
2025-08-06 21:00:15,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,3,0,2,0,0,0,9,0,1,0,0,0,0,6253
2025-08-06 22:50:24,21,142,0,0,0,1,0,0,0,0,0,0,20,18,0,6,1,2,0,0,0,24,0,1,0,0,4,0,5752
2025-08-07 00:13:20,21,142,0,0,0,0,0,0,0,0,0,0,20,18,0,6,1,2,0,0,0,24,0,1,0,0,4,0,4975
2025-08-07 01:27:28,21,142,0,0,0,0,0,0,0,0,0,0,20,18,0,6,1,2,0,0,0,24,0,1,0,0,4,0,4448
2025-08-07 02:34:24,21,142,0,0,0,0,0,0,0,0,0,0,28,26,0,8,1,2,0,0,0,34,0,1,0,0,4,0,3378
2025-08-07 03:39:22,21,142,0,0,0,0,0,0,0,0,0,0,33,31,0,11,1,2,0,0,0,42,0,1,0,0,4,0,3149
2025-08-07 04:42:44,21,142,0,0,0,0,0,0,0,0,0,0,37,35,0,12,1,2,0,0,0,47,0,1,0,0,4,0,3490
2025-08-07 06:03:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3394
2025-08-07 07:04:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3656
2025-08-07 08:05:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3666
2025-08-07 09:07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3714
2025-08-07 10:10:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3786
2025-08-07 11:14:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832
2025-08-07 12:21:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
2025-08-07 13:29:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4085
2025-08-07 14:40:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4231
2025-08-07 16:00:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4801
2025-08-07 17:35:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5731
2025-08-07 19:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6379
2025-08-07 20:59:51,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,2,1,0,0,0,0,11,0,0,0,0,2,0,5215
2025-08-07 22:48:28,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,5,1,0,0,0,0,20,0,0,0,0,2,0,5608
2025-08-08 00:28:27,2,2,0,0,0,2,2,0,0,0,0,0,26,23,0,7,1,0,0,0,0,34,0,0,0,0,2,0,5433
2025-08-08 01:45:50,2,2,0,0,0,0,0,0,0,0,0,0,28,25,0,8,1,0,0,0,0,37,0,0,0,0,2,0,4339
2025-08-08 02:55:41,2,2,0,0,0,0,0,0,0,0,0,0,30,27,0,9,1,0,0,0,0,40,0,0,0,0,2,0,3886
2025-08-08 04:03:35,2,2,0,0,0,0,0,0,0,0,0,0,38,35,0,13,1,0,0,0,0,52,0,0,0,0,2,0,2857
2025-08-08 06:05:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3488
2025-08-08 07:08:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3765
2025-08-08 08:11:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3788
2025-08-08 09:14:14,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,3,0,0,0,0,0,0,3555
2025-08-08 10:17:54,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,3,0,0,0,0,0,0,3729
2025-08-08 11:27:30,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,3,0,0,0,0,0,0,4175
